NOMOR PRODUK,CODE,JENIS,NAMA,SATUAN,HARGA,VENDOR,STATUS
1,MAT-CSV-00001,K-225,Concrete Ready Mix,M3,880000,YANIS-DAMAN-LOKAL,ACTIVE
2,MAT-CSV-00002,8mm,Triplek,BATANG,100000,PD USAHA MUJUR,ACTIVE
3,MAT-CSV-00003,4 x 6,Kaso Kayu,BATANG,24000,PD USAHA MUJUR,ACTIVE
4,MAT-CSV-00004,3 x 6,Terpal,M,250000,PD USAHA MUJUR,ACTIVE
5,MAT-CSV-00005,JLD JX 035,Mesin Demolition Drill Bobok,UNIT,977000,AMD HARDWARE,ACTIVE
6,MAT-CSV-00006,CS,H-Beam 200x12m,BATANG,10511700,PT. KBBS,ACTIVE
7,MAT-CSV-00007,CS,Plat Hitam 2mm x 4'x8',BATANG,704850,PT. KBBS,ACTIVE
8,MAT-CSV-00008,CS,Siku 60x60x6,BATANG,410700,PT. KBBS,ACTIVE
9,MAT-CSV-00009,CS,Siku 50x50x5,BATANG,283050,PT. KBBS,ACTIVE
10,MAT-CSV-00010,GT Series,Digital Paperless Recorder,UNIT,13125000,PT. KOTA BUNGSU SURYATAMA,ACTIVE
11,MAT-CSV-00011,JIS 10K SUS 304,"Ball Valve Flanges 3""",PCS,3650000,PT. KARSA INTI SEJIWA,ACTIVE
12,MAT-CSV-00012,JIS 10K SUS 304,"Ball Valve Flanges 2""",PCS,2000000,PT. KARSA INTI SEJIWA,ACTIVE
13,MAT-CSV-00013,SUS 304,"Pipe 2�"" x 3000 welded sch20",BATANG,2650000,PT. KARSA INTI SEJIWA,ACTIVE
14,MAT-CSV-00014,JIS 10K SUS 304,"Flange 3""",PCS,280000,PT. KARSA INTI SEJIWA,ACTIVE
15,MAT-CSV-00015,JIS 10K SUS 305,"Blind Flange 3""",PCS,410000,PT. KARSA INTI SEJIWA,ACTIVE
16,MAT-CSV-00016,SUS 304,"Elbow 3"" x 90�",PCS,300000,PT. KARSA INTI SEJIWA,ACTIVE
17,MAT-CSV-00017,SUS 304,"Tee 3""",PCS,550000,PT. KARSA INTI SEJIWA,ACTIVE
18,MAT-CSV-00018,GALVANIS,"Elbow 2"" x 90�",PCS,35000,PT. KARSA INTI SEJIWA,ACTIVE
19,MAT-CSV-00019,CS,"Tee 2""",PCS,50000,PT. KARSA INTI SEJIWA,ACTIVE
20,MAT-CSV-00020,JIS 10K CS,"Flange 2""",PCS,68000,PT. KARSA INTI SEJIWA,ACTIVE
21,MAT-CSV-00021,JIS 10K CS,"Flange 4""",PCS,126000,PT. KARSA INTI SEJIWA,ACTIVE
22,MAT-CSV-00022,GALVANIS,Asdrat M22x100,BATANG,79000,PT. KARSA INTI SEJIWA,ACTIVE
23,MAT-CSV-00023,GALVANIS,Mur M22,PCS,3300,PT. KARSA INTI SEJIWA,ACTIVE
24,MAT-CSV-00024,GALVANIS,Bolt+Nut M16 x 65,PCS,4200,PT. KARSA INTI SEJIWA,ACTIVE
25,MAT-CSV-00025,SUS 304,Siku 50x50x5,BATANG,1400000,PT. KARSA INTI SEJIWA,ACTIVE
26,MAT-CSV-00026,SBX (GLODOK - CILEGON),Ongkos Kirim,LOT,250000,SERANG BANTEN EXPRESS,ACTIVE
27,MAT-CSV-00027,SBX (GLODOK - CILEGON),Ongkos Kirim,LOT,300000,SERANG BANTEN EXPRESS,ACTIVE
28,MAT-CSV-00028,GOSAVE,Webbing sling belt 5Ton x 6m,SET,582750,PT. VIKTOR TEKNIK MANDIRI,ACTIVE
29,MAT-CSV-00029,GOSAVE,Webbing sling belt 3Ton x 6m,SET,349650,PT. VIKTOR TEKNIK MANDIRI,ACTIVE
30,MAT-CSV-00030,NACHI - CS,Mata bor nachi 4mm,PCS,32190,PT. VIKTOR TEKNIK MANDIRI,ACTIVE
31,MAT-CSV-00031,NACHI - CS,Mata bor nachi 5mm,PCS,42069,PT. VIKTOR TEKNIK MANDIRI,ACTIVE
32,MAT-CSV-00032,NACHI - CS,Mata bor nachi 6mm,PCS,53280,PT. VIKTOR TEKNIK MANDIRI,ACTIVE
33,MAT-CSV-00033,NACHI - CS,Mata bor nachi 7mm,PCS,66600,PT. VIKTOR TEKNIK MANDIRI,ACTIVE
34,MAT-CSV-00034,NACHI - CS,Mata bor nachi 8mm,PCS,100122,PT. VIKTOR TEKNIK MANDIRI,ACTIVE
35,MAT-CSV-00035,JASA PASANG PAVING,Akomodasi dan Transportasi Pekerja,LOT,6500000,PT. CISANGKAN - BORONGAN,ACTIVE
36,MAT-CSV-00036,JASA PASANG PAVING,Jasa Pasang Paving ALSTAD 4/5,M2,30000,PT. CISANGKAN - BORONGAN,ACTIVE
37,MAT-CSV-00037,TIGON,Mesin Vibrator Concrete + Selang 6m,UNIT,2750000,PT. VIKTOR TEKNIK MANDIRI,ACTIVE
38,MAT-CSV-00038,SDS - KARET,Roofing Kuning SDS 12x25 (400pcs),BOX,137000,PT. PANJI RIMBA TEKNIK,ACTIVE
39,MAT-CSV-00039,Tabung,Argon,TABUNG,250000,PT. BANTEN MANDIRI (IWAN),ACTIVE
40,MAT-CSV-00040,CS,"CNP 100x2,3x6m",BATANG,299700,PT. KBBS,ACTIVE
41,MAT-CSV-00041,CS,"CNP 125x2,3x6m",BATANG,333000,PT. KBBS,ACTIVE
42,MAT-CSV-00042,CS,UNP 100x5,BATANG,505050,PT. KBBS,ACTIVE
43,MAT-CSV-00044,CS,"Holo 40x40x1,2mm",BATANG,127650,PT. KBBS,ACTIVE
44,MAT-CSV-00045,CS,Siku 50x50x5x6m,BATANG,283050,PT. KBBS,ACTIVE
45,MAT-CSV-00046,CS,Flat bar 100x60,BATANG,377400,PT. KBBS,ACTIVE
46,MAT-CSV-00047,CS,Plat Hitam CS 2mm x 4'x8',LEMBAR,704850,PT. KBBS,ACTIVE
47,MAT-CSV-00052,SUPERFLEX,Welding Cable Superflex 70mm x 100m,ROLL,7492500,PT. VIKTOR TEKNIK MANDIRI,ACTIVE
48,MAT-CSV-00053,ETERNA,"Kabel Power NYYHY 2x2,5 eterna serabut (50m)",ROLL,593850,PT. VIKTOR TEKNIK MANDIRI,ACTIVE
49,MAT-CSV-00054,,Konektor las 35-50 (laki-laki),PCS,22200,PT. VIKTOR TEKNIK MANDIRI,ACTIVE
50,MAT-CSV-00055,,Konektor las 35-50 (perempuan),PCS,22200,PT. VIKTOR TEKNIK MANDIRI,ACTIVE
51,MAT-CSV-00056,GOSAVE,Kap Las,PCS,44400,PT. VIKTOR TEKNIK MANDIRI,ACTIVE
52,MAT-CSV-00057,GOSAVE,Face shield + bracket,PCS,130000,PT. VIKTOR TEKNIK MANDIRI,ACTIVE
53,MAT-CSV-00058,TEKIRO,Kunci pas ring No 12,PCS,25000,PT. VIKTOR TEKNIK MANDIRI,ACTIVE
54,MAT-CSV-00059,TEKIRO,Kunci pas ring No 14,PCS,28000,PT. VIKTOR TEKNIK MANDIRI,ACTIVE
55,MAT-CSV-00060,TEKIRO,Kunci sock no 30,PCS,62160,PT. VIKTOR TEKNIK MANDIRI,ACTIVE
56,MAT-CSV-00061,NITTO,Electric tape nitto,PCS,9435,PT. VIKTOR TEKNIK MANDIRI,ACTIVE
57,MAT-CSV-00062,3M,Rubber tape 3m,PCS,94350,PT. VIKTOR TEKNIK MANDIRI,ACTIVE
58,MAT-CSV-00063,BROCO,Stop kontak 4 lubang Broco,PCS,52725,PT. VIKTOR TEKNIK MANDIRI,ACTIVE
59,MAT-CSV-00064,BROCO,Kepala colokan broco,PCS,14430,PT. VIKTOR TEKNIK MANDIRI,ACTIVE
60,MAT-CSV-00065,MAKTEC,Die grinder MT912 Maktec,UNIT,875000,PT. VIKTOR TEKNIK MANDIRI,ACTIVE
61,MAT-CSV-00066,,Kunci bor 13mm,PCS,22200,PT. VIKTOR TEKNIK MANDIRI,ACTIVE
62,MAT-CSV-00067,,Segel Omega 10 TON,PCS,225000,PT. VIKTOR TEKNIK MANDIRI,ACTIVE
63,MAT-CSV-00068,JIS 10K SUS 304,"Flange 2""",PCS,180000,DAGANG TEKNIK GLODOK,ACTIVE
64,MAT-CSV-00069,JIS 10K CS,"FLG 6""",PCS,260000,PT. KARSA INTI SEJIWA,ACTIVE
65,MAT-CSV-00070,SGP SCH 40,"ELBOW 90� x 6""",PCS,250000,PT. KARSA INTI SEJIWA,ACTIVE
66,MAT-CSV-00071,JIS 10K SUS 304,"FLG 2""",PCS,200000,PT. KARSA INTI SEJIWA,ACTIVE
67,MAT-CSV-00072,SUS 304,"PIPA sch 40 welded 2�"" x 6000",BATANG,3300000,PT. KARSA INTI SEJIWA,ACTIVE
68,MAT-CSV-00073,JIS 10K SUS 304,"BLIND FLG 3""",PCS,385000,PT. KARSA INTI SEJIWA,ACTIVE
69,MAT-CSV-00074,SUS 304,"ELBOW 90� x 2""",PCS,120000,PT. KARSA INTI SEJIWA,ACTIVE
70,MAT-CSV-00075,MAKTEC,"Mesin Gerinda 4 inch, Maktek MT90",UNIT,396680,PASAR TEKNIK GLODOK,ACTIVE
71,MAT-CSV-00076,HUGONG - WELDMAX,Mesin Las Hugong power stick 251,UNIT,2750000,PT. VIKTOR TEKNIK MANDIRI,ACTIVE
72,MAT-CSV-00077,NAGASAKI,Chainblock 3T x 10m,UNIT,5500000,CV. KEMBAR JAYA,ACTIVE
73,MAT-CSV-00078,SUS 304,"Asental Bar 304 d:15,8mm",BATANG,550000,PT. WIJAYA MAKMUR,ACTIVE
74,MAT-CSV-00079,JIS 10K SS 304,"Flange 8""",PCS,746000,PT. WIJAYA MAKMUR,ACTIVE
75,MAT-CSV-00080,ATK,Spidol Paint Marker White,PCS,14500,TOKO TELADAN,ACTIVE
76,MAT-CSV-00081,ATK,spidol Paint Marker Black,PCS,14500,TOKO TELADAN,ACTIVE
77,MAT-CSV-00082,ATK,Cutter L500 Kenko,PCS,15000,TOKO TELADAN,ACTIVE
78,MAT-CSV-00083,ATK,Isi Cutter L150 Kenko,PCS,6500,TOKO TELADAN,ACTIVE
79,MAT-CSV-00084,ATK,Staples HD 10kk,PCS,9000,TOKO TELADAN,ACTIVE
80,MAT-CSV-00085,ATK,Isi Staples Etona,PCS,2000,TOKO TELADAN,ACTIVE
81,MAT-CSV-00086,ATK,Pulpen Standar AE7 hitam,PACK,22000,TOKO TELADAN,ACTIVE
82,MAT-CSV-00087,ATK,Buku Folio 100PPL,PCS,20000,TOKO TELADAN,ACTIVE
83,MAT-CSV-00088,MIYAKO,Dispenser Miyako WD 389 HC,UNIT,550000,TOKO SAHABAT,ACTIVE
84,MAT-CSV-00089,RAJAWALI,SEMEN,SAK,45000,TB. PASIFIC II,ACTIVE
85,MAT-CSV-00090,,Blencong,PCS,75000,TB. MUTIARA INDAH,ACTIVE
86,MAT-CSV-00091,,Palu Camel,PCS,45000,TB. MUTIARA INDAH,ACTIVE
87,MAT-CSV-00092,,Palu Lafma,PCS,30000,TB. MUTIARA INDAH,ACTIVE
88,MAT-CSV-00093,,"Meteran 7,5m Toho",PCS,82500,TB. MUTIARA INDAH,ACTIVE
89,MAT-CSV-00094,,Meteran 50m,PCS,235000,TB. MUTIARA INDAH,ACTIVE
90,MAT-CSV-00095,,Bracket Face Shield,PCS,80000,TB. MUTIARA INDAH,ACTIVE
91,MAT-CSV-00096,,Kaca Face Shield,PCS,95000,TB. MUTIARA INDAH,ACTIVE
92,MAT-CSV-00097,,S.Tangan katun 5b,PCS,24000,TB. MUTIARA INDAH,ACTIVE
93,MAT-CSV-00098,,Fire Blanket,PCS,80000,TB. MUTIARA INDAH,ACTIVE
94,MAT-CSV-00099,,Gagang Cangkul,PCS,15000,TB. MUTIARA INDAH,ACTIVE
95,MAT-CSV-00100,,Mata Cangkul Buaya,PCS,60000,TB. MUTIARA INDAH,ACTIVE
96,MAT-CSV-00101,,Roll Baricade Merah/Puth,PCS,50000,TB. MUTIARA INDAH,ACTIVE
97,MAT-CSV-00102,,Refil Roll Cat Pinehill,PCS,50000,TB. MUTIARA INDAH,ACTIVE
98,MAT-CSV-00103,,Angklong Gerobak Orange,PCS,680000,TB. MUTIARA INDAH,ACTIVE
99,MAT-CSV-00104,,S.Tangan argon,PCS,22000,TB. MUTIARA INDAH,ACTIVE
100,MAT-CSV-00105,,Kaca mata vipro,PCS,15000,TB. MUTIARA INDAH,ACTIVE
101,MAT-CSV-00106,,Sepatu Boots FORLI,PCS,60000,TB. MUTIARA INDAH,ACTIVE
102,MAT-CSV-00107,,"Paku Rivet 4,8mm",PCS,65000,TB. MUTIARA INDAH,ACTIVE
103,MAT-CSV-00108,CS,Besi 6,BATANG,29000,TB. PASIFIC II,ACTIVE
104,MAT-CSV-00109,CS,Sloop,BATANG,170000,TB. PASIFIC II,ACTIVE
105,MAT-CSV-00111,8mm,Besi 6,BATANG,29000,TB. PASIFIC II,ACTIVE
106,MAT-CSV-00112,8mm,Rucika 3/4 pipa pvc,BATANG,35000,TB. PASIFIC II,ACTIVE
107,MAT-CSV-00113,4 x 6,Kaso Kayu,BATANG,22000,TB. PASIFIC II,ACTIVE
108,MAT-CSV-00114,SS 304,Bolt & Nut M16x50,PCS,19775,BAUT FASTNER,ACTIVE
109,MAT-CSV-00115,PC75,Sewa Exavator PC75,DAYS,12620000,YANIS-DAMAN-LOKAL,ACTIVE
110,MAT-CSV-00116,CS,Wiremesh M8x5400x2100,LEMBAR,599400,PT. KBBS,ACTIVE
111,MAT-CSV-00117,,Tiang Precast beton 16x16x300,UNIT,270000,SAMSON BLOCK INDONESIA,ACTIVE
112,MAT-CSV-00118,,- Jasa Bushing � 155 x 85mm,UNIT,500000,CV. ATAY LAJU SENTOSA,ACTIVE
113,MAT-CSV-00119,,- Jasa Bushing � 155 x 70mm,UNIT,500000,CV. ATAY LAJU SENTOSA,ACTIVE
114,MAT-CSV-00120,,- Jasa Bushing � 155 x (sisa potongan),UNIT,500000,CV. ATAY LAJU SENTOSA,ACTIVE
115,MAT-CSV-00121,,- Jasa Bushing � 155 x 3500mm,UNIT,500000,CV. ATAY LAJU SENTOSA,ACTIVE
116,MAT-CSV-00122,,Housing Seal (Matl S45L),UNIT,3500000,CV. ATAY LAJU SENTOSA,ACTIVE
117,MAT-CSV-00123,,Triplek 4mm,LEMBAR,86000,YANIS-DAMAN-LOKAL,ACTIVE
118,MAT-CSV-00124,,Paku 7,PCS,30000,YANIS-DAMAN-LOKAL,ACTIVE
119,MAT-CSV-00125,,Paku 5,PCS,30000,YANIS-DAMAN-LOKAL,ACTIVE
120,MAT-CSV-00126,4 x 6 Duren,Kaso Kayu,BATANG,37000,YANIS-DAMAN-LOKAL,ACTIVE
121,MAT-CSV-00127,,Gembok,PCS,50000,YANIS-DAMAN-LOKAL,ACTIVE
122,MAT-CSV-00128,,Grendel Gembok,PCS,15000,YANIS-DAMAN-LOKAL,ACTIVE
123,MAT-CSV-00129,,Sendok Bata,PCS,47000,YANIS-DAMAN-LOKAL,ACTIVE
124,MAT-CSV-00130,,Roskam,PCS,35000,YANIS-DAMAN-LOKAL,ACTIVE
125,MAT-CSV-00131,,Paku 7,KG,30000,YANIS-DAMAN-LOKAL,ACTIVE
126,MAT-CSV-00132,,Paku 10,KG,30000,YANIS-DAMAN-LOKAL,ACTIVE
127,MAT-CSV-00133,,Paku 5,KG,30000,YANIS-DAMAN-LOKAL,ACTIVE
128,MAT-CSV-00134,,Benang Tukang,ROLL,12000,YANIS-DAMAN-LOKAL,ACTIVE
129,MAT-CSV-00135,,Kikir,PCS,45000,YANIS-DAMAN-LOKAL,ACTIVE
130,MAT-CSV-00136,,Kaso 4x6 duren,BATANG,37000,YANIS-DAMAN-LOKAL,ACTIVE
131,MAT-CSV-00137,,"Sock drat dalam 1/2"" PVC",PCS,10000,YANIS-DAMAN-LOKAL,ACTIVE
132,MAT-CSV-00138,,"Paku payung 7""",PACK,15000,YANIS-DAMAN-LOKAL,ACTIVE
133,MAT-CSV-00140,,Balok 5x10,BATANG,67000,YANIS-DAMAN-LOKAL,ACTIVE
134,MAT-CSV-00141,,Besi 10 Full,BATANG,140333,YANIS-DAMAN-LOKAL,ACTIVE
135,MAT-CSV-00142,,Paku 4,KG,30000,YANIS-DAMAN-LOKAL,ACTIVE
136,MAT-CSV-00143,,Besi 10 Full,BATANG,140600,YANIS-DAMAN-LOKAL,ACTIVE
137,MAT-CSV-00144,,Besi 13 Ulir Full,BATANG,237120,YANIS-DAMAN-LOKAL,ACTIVE
138,MAT-CSV-00145,,Besi 16 Ulir Full,BATANG,360240,YANIS-DAMAN-LOKAL,ACTIVE
139,MAT-CSV-00146,,Sandwich Panel Dinding 270x60x5,LEMBAR,320000,PT ARTHA BETON,ACTIVE
140,MAT-CSV-00147,14 x 14 Natural,Paving Alstad 4,M2,135000,PT. CISANGKAN,ACTIVE
141,MAT-CSV-00148,7 x 21 Natrural,Paving Alstad 5,M2,135000,PT. CISANGKAN,ACTIVE
142,MAT-CSV-00149,SDS - KARET,Roofing Kuning SDS 12x25 (400pcs),BOX,136000,PD. PANJI RIMBA TEKNIK,ACTIVE
143,MAT-CSV-00150,SDS - KARET,Roofing Kuning SDS 12x75 (300pcs),BOX,189000,PD. PANJI RIMBA TEKNIK,ACTIVE
144,MAT-CSV-00151,ETERNA,"Kabel Power NYYHY 2x2,5 eterna serabut (50m)",ROLL,710000,TOKO SEMI CILEGON,ACTIVE
145,MAT-CSV-00152,TC-4 NICHI,Kabel duct TC-4 NICHI,BATANG,10000,TOKO SEMI CILEGON,ACTIVE
146,MAT-CSV-00153,BROCO,Stop kontak 4 lubang Broco,PCS,45000,TOKO SEMI CILEGON,ACTIVE
147,MAT-CSV-00154,BROCO,Steker Broco,PCS,11000,TOKO SEMI CILEGON,ACTIVE
148,MAT-CSV-00155,3M,Rubber 3M,PCS,95000,TOKO SEMI CILEGON,ACTIVE
149,MAT-CSV-00156,KITANI,"Kabel Power NYAF 1 x 1,5",ROLL,215000,TOKO SEMI CILEGON,ACTIVE
150,MAT-CSV-00157,,Kabel Ties,PACK,8000,TOKO SEMI CILEGON,ACTIVE
151,MAT-CSV-00158,NITTO,Electric tape Nitto,PCS,15000,TOKO SEMI CILEGON,ACTIVE
152,MAT-CSV-00159,,Semen Rajawali,SAK,46000,TB. MUTIARA INDAH,ACTIVE
153,MAT-CSV-00160,,Besi 10,BATANG,82000,TB. MUTIARA INDAH,ACTIVE
154,MAT-CSV-00161,,Besi 8,BATANG,52000,TB. MUTIARA INDAH,ACTIVE
155,MAT-CSV-00162,,Triplek 8mm,LEMBAR,90000,TB. MUTIARA INDAH,ACTIVE
156,MAT-CSV-00163,4 x 6,Kaso Kayu,BATANG,27000,TB. MUTIARA INDAH,ACTIVE
157,MAT-CSV-00164,,Besi 13,BATANG,135000,TB. MUTIARA INDAH,ACTIVE
158,MAT-CSV-00165,,Bodem LB10,PCS,100000,TB. MUTIARA INDAH,ACTIVE
159,MAT-CSV-00166,,"Cutting circle kayu 4""",PCS,60000,TB. MUTIARA INDAH,ACTIVE
160,MAT-CSV-00167,,Kapur besi,PACK,20000,TB. MUTIARA INDAH,ACTIVE
161,MAT-CSV-00168,,Tespen,PCS,12000,TB. MUTIARA INDAH,ACTIVE
162,MAT-CSV-00169,,Obeng,PCS,15000,TB. MUTIARA INDAH,ACTIVE
163,MAT-CSV-00170,,S.tangan 5b,LUSIN,25000,TB. MUTIARA INDAH,ACTIVE
164,MAT-CSV-00171,,Marker,PCS,22000,TB. MUTIARA INDAH,ACTIVE
165,MAT-CSV-00172,"3"" JIS 10K SS 304",Flange,PCS,280000,PT. KARSA INTI SEJIWA,ACTIVE
166,MAT-CSV-00173,"20"" JIS 5K SS 304",Flange,PCS,3350000,PT. KARSA INTI SEJIWA,ACTIVE
167,MAT-CSV-00174,"20"" JIS 5K SS 304",Blind Flange,PCS,8350000,PT. KARSA INTI SEJIWA,ACTIVE
168,MAT-CSV-00175,SS 304,Eye Nut,PCS,135000,PT. KARSA INTI SEJIWA,ACTIVE
169,MAT-CSV-00176,WD,"Cutting Disc 4"" x 1.2mm WD",BOX,53600,INTI PERKAKAS GLODOK,ACTIVE
170,MAT-CSV-00177,,AS Drat Stainless M16,BATANG,161025,DANINDO TEKNIK MANDIRI,ACTIVE
171,MAT-CSV-00178,,"Sock drat+Nepel 1/2"" x 100 sus 304",PCS,17000,DANINDO TEKNIK MANDIRI,ACTIVE
172,MAT-CSV-00179,Galvalum,Plat sheet Galvalume 0.3mm x 915,M2,55000,INDOMEGA ALUMUNIUM,ACTIVE
173,MAT-CSV-00180,SS 304,"Pipa 12"" x 600 sch 20 SUS 304",PCS,2055000,CV. ARDIAN AGUNG TEKNIK,ACTIVE
174,MAT-CSV-00181,SS 304,"Pipa 20"" x 500 sch 20 SUS 304",PCS,4150000,CV. ARDIAN AGUNG TEKNIK,ACTIVE
175,MAT-CSV-00182,SS 304,"Blind Flange 10"" jis 10k SUS 304",PCS,2430000,CV. ARDIAN AGUNG TEKNIK,ACTIVE
176,MAT-CSV-00183,Galvanis,Asdrat Galvanis m10 x 1000,BATANG,17500,KARYA WARGI,ACTIVE
177,MAT-CSV-00184,Coklat 1mm,Fire blanket,M2,75000,KARYA WARGI,ACTIVE
178,MAT-CSV-00185,,Cat vinilex P300 white,GALON,175000,KARYA WARGI,ACTIVE
179,MAT-CSV-00186,,Kran 1/2 inch galvanis onda,PCS,71500,KARYA WARGI,ACTIVE
180,MAT-CSV-00187,FCL,Coupling FCL - 180,UNIT,467350,ASC TEKNIK,ACTIVE
181,MAT-CSV-00188,SS 304,Turnbuckle eye to hook ss304 m8,PCS,45675,ASC TEKNIK,ACTIVE
