code,jenis,name,satuan,harga,vendor
MT-2026-0001,K-225,Concrete Ready Mix,M3,880000,YANIS-DAMAN-LOKAL
MT-2026-0002,8mm,Triplek,BATANG,100000,PD USAHA MUJUR
MT-2026-0003,4 x 6,Kaso Kayu,BATANG,24000,PD USAHA MUJUR
MT-2026-0004,3 x 6,Terpal,M,250000,PD USAHA MUJUR
MT-2026-0005,JLD JX 035,Mesin Demolition Drill Bobok,UNIT,977000,AMD HARDWARE
MT-2026-0006,CS,H-Beam 200x12m,BATANG,10511700,PT. KBBS
MT-2026-0007,CS,Plat Hitam 2mm x 4'x8',BATANG,704850,PT. KBBS
MT-2026-0008,CS,Siku 60x60x6,BATANG,410700,PT. KBBS
MT-2026-0009,CS,Siku 50x50x5,BATANG,283050,PT. KBBS
MT-2026-0010,GT Series,Digital Paperless Recorder,UNIT,13125000,PT. KOTA BUNGSU SURYATAMA
MT-2026-0011,JIS 10K SUS 304,"Ball Valve Flanges 3""",PCS,3650000,PT. KARSA INTI SEJIWA
MT-2026-0012,JIS 10K SUS 304,"Ball Valve Flanges 2""",PCS,2000000,PT. KARSA INTI SEJIWA
MT-2026-0013,SUS 304,"Pipe 2�"" x 3000 welded sch20",BATANG,2650000,PT. KARSA INTI SEJIWA
MT-2026-0014,JIS 10K SUS 304,"Flange 3""",PCS,280000,PT. KARSA INTI SEJIWA
MT-2026-0015,JIS 10K SUS 305,"Blind Flange 3""",PCS,410000,PT. KARSA INTI SEJIWA
MT-2026-0016,SUS 304,"Elbow 3"" x 90�",PCS,300000,PT. KARSA INTI SEJIWA
MT-2026-0017,SUS 304,"Tee 3""",PCS,550000,PT. KARSA INTI SEJIWA
MT-2026-0018,GALVANIS,"Elbow 2"" x 90�",PCS,35000,PT. KARSA INTI SEJIWA
MT-2026-0019,CS,"Tee 2""",PCS,50000,PT. KARSA INTI SEJIWA
MT-2026-0020,JIS 10K CS,"Flange 2""",PCS,68000,PT. KARSA INTI SEJIWA
MT-2026-0021,JIS 10K CS,"Flange 4""",PCS,126000,PT. KARSA INTI SEJIWA
MT-2026-0022,GALVANIS,Asdrat M22x100,BATANG,79000,PT. KARSA INTI SEJIWA
MT-2026-0023,GALVANIS,Mur M22,PCS,3300,PT. KARSA INTI SEJIWA
MT-2026-0024,GALVANIS,Bolt+Nut M16 x 65,PCS,4200,PT. KARSA INTI SEJIWA
MT-2026-0025,SUS 304,Siku 50x50x5,BATANG,1400000,PT. KARSA INTI SEJIWA
MT-2026-0026,SBX (GLODOK - CILEGON),Ongkos Kirim,LOT,250000,SERANG BANTEN EXPRESS
MT-2026-0027,SBX (GLODOK - CILEGON),Ongkos Kirim,LOT,300000,SERANG BANTEN EXPRESS
MT-2026-0028,GOSAVE,Webbing sling belt 5Ton x 6m,SET,582750,PT. VIKTOR TEKNIK MANDIRI
MT-2026-0029,GOSAVE,Webbing sling belt 3Ton x 6m,SET,349650,PT. VIKTOR TEKNIK MANDIRI
MT-2026-0030,NACHI - CS,Mata bor nachi 4mm,PCS,32190,PT. VIKTOR TEKNIK MANDIRI
MT-2026-0031,NACHI - CS,Mata bor nachi 5mm,PCS,42069,PT. VIKTOR TEKNIK MANDIRI
MT-2026-0032,NACHI - CS,Mata bor nachi 6mm,PCS,53280,PT. VIKTOR TEKNIK MANDIRI
MT-2026-0033,NACHI - CS,Mata bor nachi 7mm,PCS,66600,PT. VIKTOR TEKNIK MANDIRI
MT-2026-0034,NACHI - CS,Mata bor nachi 8mm,PCS,100122,PT. VIKTOR TEKNIK MANDIRI
MT-2026-0035,JASA PASANG PAVING,Akomodasi dan Transportasi Pekerja,LOT,6500000,PT. CISANGKAN - BORONGAN
MT-2026-0036,JASA PASANG PAVING,Jasa Pasang Paving ALSTAD 4/5,M2,30000,PT. CISANGKAN - BORONGAN
MT-2026-0037,TIGON,Mesin Vibrator Concrete + Selang 6m,UNIT,2750000,PT. VIKTOR TEKNIK MANDIRI
MT-2026-0038,SDS - KARET,Roofing Kuning SDS 12x25 (400pcs),BOX,137000,PT. PANJI RIMBA TEKNIK
MT-2026-0039,Tabung,Argon,TABUNG,250000,PT. BANTEN MANDIRI (IWAN)
MT-2026-0040,CS,"CNP 100x2,3x6m",BATANG,299700,PT. KBBS
MT-2026-0041,CS,"CNP 125x2,3x6m",BATANG,333000,PT. KBBS
MT-2026-0042,CS,UNP 100x5,BATANG,505050,PT. KBBS
MT-2026-0043,CS,"Holo 40x40x1,2mm",BATANG,127650,PT. KBBS
MT-2026-0044,CS,Siku 50x50x5x6m,BATANG,283050,PT. KBBS
MT-2026-0045,CS,Flat bar 100x60,BATANG,377400,PT. KBBS
MT-2026-0046,CS,Plat Hitam CS 2mm x 4'x8',LEMBAR,704850,PT. KBBS
MT-2026-0047,SUPERFLEX,Welding Cable Superflex 70mm x 100m,ROLL,7492500,PT. VIKTOR TEKNIK MANDIRI
MT-2026-0048,ETERNA,"Kabel Power NYYHY 2x2,5 eterna serabut (50m)",ROLL,593850,PT. VIKTOR TEKNIK MANDIRI
MT-2026-0049,,Konektor las 35-50 (laki-laki),PCS,22200,PT. VIKTOR TEKNIK MANDIRI
MT-2026-0050,,Konektor las 35-50 (perempuan),PCS,22200,PT. VIKTOR TEKNIK MANDIRI
MT-2026-0051,GOSAVE,Kap Las,PCS,44400,PT. VIKTOR TEKNIK MANDIRI
MT-2026-0052,GOSAVE,Face shield + bracket,PCS,130000,PT. VIKTOR TEKNIK MANDIRI
MT-2026-0053,TEKIRO,Kunci pas ring No 12,PCS,25000,PT. VIKTOR TEKNIK MANDIRI
MT-2026-0054,TEKIRO,Kunci pas ring No 14,PCS,28000,PT. VIKTOR TEKNIK MANDIRI
MT-2026-0055,TEKIRO,Kunci sock no 30,PCS,62160,PT. VIKTOR TEKNIK MANDIRI
MT-2026-0056,NITTO,Electric tape nitto,PCS,9435,PT. VIKTOR TEKNIK MANDIRI
MT-2026-0057,3M,Rubber tape 3m,PCS,94350,PT. VIKTOR TEKNIK MANDIRI
MT-2026-0058,BROCO,Stop kontak 4 lubang Broco,PCS,52725,PT. VIKTOR TEKNIK MANDIRI
MT-2026-0059,BROCO,Kepala colokan broco,PCS,14430,PT. VIKTOR TEKNIK MANDIRI
MT-2026-0060,MAKTEC,Die grinder MT912 Maktec,UNIT,875000,PT. VIKTOR TEKNIK MANDIRI
MT-2026-0061,,Kunci bor 13mm,PCS,22200,PT. VIKTOR TEKNIK MANDIRI
MT-2026-0062,,Segel Omega 10 TON,PCS,225000,PT. VIKTOR TEKNIK MANDIRI
MT-2026-0063,JIS 10K SUS 304,"Flange 2""",PCS,180000,DAGANG TEKNIK GLODOK
MT-2026-0064,JIS 10K CS,"FLG 6""",PCS,260000,PT. KARSA INTI SEJIWA
MT-2026-0065,SGP SCH 40,"ELBOW 90� x 6""",PCS,250000,PT. KARSA INTI SEJIWA
MT-2026-0066,JIS 10K SUS 304,"FLG 2""",PCS,200000,PT. KARSA INTI SEJIWA
MT-2026-0067,SUS 304,"PIPA sch 40 welded 2�"" x 6000",BATANG,3300000,PT. KARSA INTI SEJIWA
