NOMOR PRODUK,CODE,JENIS,NAMA,SATUAN,HARGA,VENDOR,STATUS,NOTE
1,MAT-CSV-00001,K-225,Concrete Ready Mix,m3,880000,YANIS-DAMAN-LOKAL,ACTIVE,INSERTED
2,MAT-CSV-00002,8mm,Triplek,Batang,100000,PD USAHA MUJUR,ACTIVE,INSERTED
3,MAT-CSV-00003,4 x 6,Kaso Kayu,Batang,24000,PD USAHA MUJUR,ACTIVE,INSERTED
4,MAT-CSV-00004,3 x 6,Terpal,m,250000,PD USAHA MUJUR,ACTIVE,INSERTED
5,MAT-CSV-00005,JLD JX 035,Mesin Demolition Drill Bobok,Unit,977000,AMD HARDWARE,ACTIVE,INSERTED
6,MAT-CSV-00006,CS,H-Beam 200x12m,Batang,10511700,PT. KBBS,ACTIVE,INSERTED
7,MAT-CSV-00007,CS,Plat Hitam 2mm x 4'x8',Batang,704850,PT. KBBS,ACTIVE,INSERTED
8,MAT-CSV-00008,CS,Siku 60x60x6,Batang,410700,PT. KBBS,ACTIVE,INSERTED
9,MAT-CSV-00009,CS,Siku 50x50x5,Batang,283050,PT. KBBS,ACTIVE,INSERTED
10,MAT-CSV-00010,GT Series,Digital Paperless Recorder,Unit,13125000,PT. KOTA BUNGSU SURYATAMA,ACTIVE,INSERTED
11,MAT-CSV-00011,JIS 10K SUS 304,"Ball Valve Flanges 3""",Pcs,3650000,PT. KARSA INTI SEJIWA,ACTIVE,INSERTED
12,MAT-CSV-00012,JIS 10K SUS 304,"Ball Valve Flanges 2""",Pcs,2000000,PT. KARSA INTI SEJIWA,ACTIVE,INSERTED
13,MAT-CSV-00013,SUS 304,"Pipe 2�"" x 3000 welded sch20",Batang,2650000,PT. KARSA INTI SEJIWA,ACTIVE,INSERTED
14,MAT-CSV-00014,JIS 10K SUS 304,"Flange 3""",Pcs,280000,PT. KARSA INTI SEJIWA,ACTIVE,INSERTED
15,MAT-CSV-00015,JIS 10K SUS 305,"Blind Flange 3""",Pcs,410000,PT. KARSA INTI SEJIWA,ACTIVE,INSERTED
16,MAT-CSV-00016,SUS 304,"Elbow 3"" x 90�",Pcs,300000,PT. KARSA INTI SEJIWA,ACTIVE,INSERTED
17,MAT-CSV-00017,SUS 304,"Tee 3""",Pcs,550000,PT. KARSA INTI SEJIWA,ACTIVE,INSERTED
18,MAT-CSV-00018,GALVANIS,"Elbow 2"" x 90�",Pcs,35000,PT. KARSA INTI SEJIWA,ACTIVE,INSERTED
